case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold,gdelt_article_count,gdelt_avg_tone,gdelt_negative_share
ACLED_CASE_00195,US-Iran,2023-05,validation,43,19,6,24,0,0,-9.545454545454549,-5.422727272727274,1.286793259587115,-0.95,0.3734193994217845,-0.6429829415164879,0.1014247609134083,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,23.0,0,0.933769140880269,1,279.86,201.34,0,0.0,0.0
ACLED_CASE_00196,US-Iran,2023-06,validation,48,35,22,13,0,8,-10.0,-5.83,1.286793259587115,-0.5772727272727273,0.3734193994217845,-0.6668934824158971,0.1031813154641858,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,24.0,0,0.9737449217462828,1,222.66,201.34,0,0.0,0.0
ACLED_CASE_00197,US-Iran,2023-07,validation,17,15,6,2,0,0,-10.0,-5.550000000000001,1.286793259587115,-0.9375,0.3734193994217845,-0.658659782725115,0.1065643094138312,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,20.0,0,0.6667672023483393,1,266.58,201.34,0,0.0,0.0
ACLED_CASE_00198,US-Iran,2023-08,validation,13,7,5,6,0,4,-8.095238095238095,-4.337619047619048,1.286793259587115,-0.1833333333333333,0.3734193994217845,-0.5649806460844711,0.1064341942619218,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,11.0,0,0.5963040663936456,1,278.44,201.34,0,0.0,0.0
ACLED_CASE_00199,US-Iran,2023-09,validation,104,11,10,93,0,88,-9.705882352941176,-5.2829411764705885,1.286793259587115,0.946,0.3734193994217845,-0.6430080113998445,0.1058486760783293,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,16.0,1,0.9957186047339236,0,194.78000000000003,201.34,0,0.0,0.0
ACLED_CASE_00200,US-Iran,2023-10,validation,9,2,2,7,0,2,-10.0,-5.26,1.286793259587115,0.0799999999999999,0.3734193994217845,-0.6498835088515107,0.1121592609459371,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,12.0,0,0.5163247013799762,1,218.62,201.34,0,0.0,0.0
ACLED_CASE_00201,US-Iran,2023-11,validation,19,10,5,9,0,8,-10.0,-5.3,1.286793259587115,-0.0210526315789473,0.3734193994217845,-0.6511089298156075,0.1115737427623446,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,10.0,0,0.6649024189555653,1,205.22,201.34,0,0.0,0.0
ACLED_CASE_00202,US-Iran,2023-12,validation,17,8,4,9,0,3,-10.0,-5.66,1.286793259587115,-0.3666666666666667,0.3734193994217845,-0.6619227360752556,0.112419491249756,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,29.0,0,0.6589264981560935,0,198.68,201.34,0,0.0,0.0
ACLED_CASE_00203,US-Iran,2024-01,test,40,24,17,16,0,2,-9.649122807017545,-7.684561403508773,1.2860975305336222,-0.8,0.387203824650718,-0.7062883308896921,0.1133302973131221,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,131.0,0,0.9569013309421148,0,142.38,201.34,0,0.0,0.0
ACLED_CASE_00204,US-Iran,2024-02,test,21,9,6,12,0,0,-10.0,-5.27,1.2860975305336222,-0.9,0.387203824650718,-0.6501903086912404,0.1163880033829939,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,9.0,0,0.7682265082268607,0,123.16,201.34,0,0.0,0.0
ACLED_CASE_00205,US-Iran,2024-03,test,15,12,8,3,0,0,-10.0,-5.38,1.2860975305336222,-0.9230769230769232,0.387203824650718,-0.6535455130938194,0.1175590397501789,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,13.0,0,0.6878275907225044,0,125.64,201.34,0,0.0,0.0
ACLED_CASE_00206,US-Iran,2024-04,test,24,17,7,7,0,0,-8.75,-5.525,1.2860975305336222,-0.9444444444444444,0.387203824650718,-0.6232999881466617,0.1187951336933185,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,49.0,0,0.7813048177917769,0,165.64,201.34,0,0.0,0.0
ACLED_CASE_00207,US-Iran,2024-05,test,9,6,2,3,0,0,-8.181818181818182,-4.25090909090909,1.2860975305336222,-0.8571428571428571,0.387203824650718,-0.56493166043404,0.1202914579402771,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,5.0,0,0.4974354755371383,0,173.34000000000003,201.34,0,0.0,0.0
ACLED_CASE_00208,US-Iran,2024-06,test,11,7,4,4,0,0,-8.88888888888889,-4.654444444444445,1.2860975305336222,-0.875,0.387203824650718,-0.6003111690215132,0.1203565155162318,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,7.0,0,0.571661247176879,0,174.12000000000003,201.34,0,0.0,0.0
ACLED_CASE_00209,US-Iran,2024-07,test,9,5,3,4,0,0,-5.555555555555555,-2.9477777777777776,1.2860975305336222,-0.8333333333333334,0.387203824650718,-0.4174139690368181,0.1204215730921866,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,6.0,0,0.5157331717680681,0,188.22,201.34,0,0.0,0.0
ACLED_CASE_00210,US-Iran,2024-08,test,8,4,3,4,0,0,-5.0,-2.6,1.2860975305336222,-0.8,0.387203824650718,-0.3789885074065622,0.1195758246047752,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,3.0,0,0.5006887697147424,0,196.66000000000005,201.34,0,0.0,0.0
ACLED_CASE_00211,US-Iran,2024-09,test,15,15,10,0,0,0,-8.823529411764707,-4.9017647058823535,1.2860975305336222,-0.9375,0.387203824650718,-0.6063002651200109,0.1194457094528657,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,17.0,0,0.7004605543143906,0,185.02,201.34,0,0.0,0.0
ACLED_CASE_00212,US-Iran,2024-10,test,32,30,29,2,0,0,-10.0,-6.279999999999999,1.2860975305336222,-0.967741935483871,0.387203824650718,-0.6796259028469759,0.1200962852124129,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,49.0,0,0.9643697145698418,0,121.46,201.34,0,0.0,0.0
ACLED_CASE_00213,US-Iran,2024-11,test,9,8,7,1,0,0,-10.0,-5.78,1.2860975305336222,-0.8888888888888888,0.387203824650718,-0.6654406010951538,0.1232841064341942,28750956130731.2,0.0,997309000000.0,7891903306.81818,25.3786342507088,52.0621306794348,35.0,0,0.5883052820060786,0,107.26,201.34,0,0.0,0.0
ACLED_CASE_00214,US-Russia,2016-01,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00215,US-Russia,2016-02,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00216,US-Russia,2016-03,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00217,US-Russia,2016-04,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00218,US-Russia,2016-05,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00219,US-Russia,2016-06,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
